anho_nacimiento,nombre,fecha_creacion,total_obras,autor_id
,,2021-04-29T13:43:21.897116,111,101
,,,,102
,Randy J. Paterson,,7,103
,,2021-05-09T04:26:24.916957,11,104
,,2022-05-26T07:55:40.020467,40,105
1980,Jenny Han,2008-04-01T03:28:50.625462,66,106
1886,Olaf Stapledon,2008-04-01T03:28:50.625462,104,107
1963,"James, E. L.",2012-03-15T23:07:06.804942,29,108
,,2024-12-08T21:12:24.681385,2,109
,,2023-01-04T23:42:46.871418,858,110
,,,,111
1986,Sarah J. Maas,2012-04-25T09:48:38.192850,51,112
,,,,113
1965,Steven T. Seagle,2008-04-01T03:28:50.625462,29,114
,NANCY MARTIN,2008-10-25T05:07:15.419241,1,115
1876,Jack London,2008-04-01T03:28:50.625462,9357,116
1970,,2011-04-06T17:53:01.151689,4,117
1970,Kelly Sue DeConnick,2008-04-30T09:38:13.731961,76,118
1974,Michael Dante DiMartino,2008-04-30T09:38:13.731961,31,119
1984,Brian Christian,2011-03-01T21:34:48.940104,6,120
,,,,121
,Shawn K. Stout,2009-07-22T03:52:18.343879,22,122
,,2016-07-25T22:35:33.520082,12,123
,John H. Beauvais,,4,124
,Samantha Mabry,2019-05-24T00:05:43.352531,7,125
1986,Sarah J. Maas,2012-04-25T09:48:38.192850,51,126
,,,,127
1970,James K. A. Smith,,24,128
1977,,2013-08-13T14:49:41.498679,24,129
,Molly Prentiss,2019-07-19T11:35:07.291062,3,130
,James McDonald,2008-10-20T14:59:53.750788,75,131
1986,Sarah J. Maas,2012-04-25T09:48:38.192850,51,132
,,2008-04-29T13:35:46.876380,20,133
1975,Jay Asher,2008-04-30T09:38:13.731961,37,134
,Jo Ellen Bogart,2008-04-01T03:28:50.625462,27,135
1947,"Steel, Danielle.",2008-04-01T03:28:50.625462,774,136
,Emma Straub,2011-10-27T10:35:08.957941,22,137
1928,"Toffler, Alvin.",2008-04-01T03:28:50.625462,67,138
1835,Mark Twain,2008-04-01T03:28:50.625462,7351,139
,,2008-04-30T09:38:13.731961,106,140
1890,Agatha Christie,2008-04-01T03:28:50.625462,1166,141
,,,7,142
1967,Jon Ronson,2008-04-01T03:28:50.625462,25,143
1956,Graeme C. Simsion,2008-04-01T03:28:50.625462,17,144
1948,Eckhart Tolle,2008-04-01T03:28:50.625462,173,145
,,2021-02-09T05:46:29.689814,130,146
1985,Rosanna Pansino,2019-05-24T10:44:54.779570,3,147
1890,Agatha Christie,2008-04-01T03:28:50.625462,1166,148
1974,Chetan Bhagat,2008-04-01T03:28:50.625462,31,149
,,2019-03-21T08:58:25.500179,179,150
,,,,151
,Laura Tillman,2019-07-19T12:16:51.205566,2,152
1965,Khaled Hosseini,2008-04-01T03:28:50.625462,44,153
1906,,2008-04-30T09:38:13.731961,52,154
,,2008-04-29T15:03:11.581851,278,155
1972,Paula Hawkins,2008-04-29T15:03:11.581851,17,156
1959,Jennifer Ackerman,2008-04-01T03:28:50.625462,14,157
,,2025-04-29T14:47:15.809576,1,158
,Shelly Jaronsky,2019-07-19T12:58:48.056122,1,159
,,2021-09-18T10:14:30.253934,5,160
1948,Julia Cameron,2008-04-01T03:28:50.625462,92,161
,Sunzi,2008-04-01T03:28:50.625462,311,162
1973,Maggie Nelson,2008-04-01T03:28:50.625462,16,163
,,2019-10-11T13:38:02.567521,1,164
,,,18,165
,,2019-10-30T04:38:14.527112,6,166
,,2016-10-14T04:11:30.771015,28,167
1967,Jon Ronson,2008-04-01T03:28:50.625462,25,168
1938,Philip H. Knight,2010-03-12T04:57:05.100224,9,169
,,,,170
,,2021-06-14T06:52:28.139578,22,171
,Anna Breslaw,2019-07-19T12:56:15.701652,2,172
,,2021-11-02T18:56:04.929112,3,173
1947,Francine Rivers,2008-04-01T03:28:50.625462,156,174
,Justin Martin,,51,175
1947,Anthony Holden,2008-04-01T03:28:50.625462,43,176
1960,Kristin Hannah,2008-04-01T03:28:50.625462,130,177
1988,Ocean Vuong,2019-07-19T12:17:08.404158,10,178
,Victoria Kelly,2019-05-15T08:23:08.947216,8,179
1983,Aziz Ansari,2016-09-13T16:16:56.490326,4,180
1979,Ransom Riggs,2008-10-07T23:52:28.122230,106,181
1832,Louisa May Alcott,2008-04-01T03:28:50.625462,2227,182
1948,Audrey Wood,2008-09-25T23:36:20.589641,63,183
1979,Ransom Riggs,2008-10-07T23:52:28.122230,106,184
,,,,185
,,2019-07-19T16:21:09.973619,1,186
1979,Ransom Riggs,2008-10-07T23:52:28.122230,106,187
1935,"Hargreaves, Roger.",2008-04-01T03:28:50.625462,1843,188
,,,10,189
,,2008-04-29T15:03:11.581851,278,190
,"Edwards, Mark",2020-09-21T00:36:54.391720,2,191
,,,18,192
1947,"King, Stephen",2008-04-01T03:28:50.625462,608,193
1621,"La Fontaine, Jean de",2008-04-01T03:28:50.625462,904,194
,,,,195
1968,Mo Willems,2008-04-01T03:28:50.625462,199,196
,,2021-11-02T20:35:56.234885,3,197
,,2016-10-14T12:40:12.163954,66,198
,,2020-07-14T02:40:31.947818,6,199
,,2021-03-03T20:13:06.081933,1,200
1965,C. Brené Brown,2008-04-30T09:38:13.731961,57,201
,Christina Dodd,2008-04-01T03:28:50.625462,258,202
,Crystal McVea,2019-07-18T02:37:15.267096,3,203
,David Joseph Schwartz,2008-04-01T03:28:50.625462,27,204
,,,9,205
,Mary Mothersill,,3,206
1953,"Moore, Alan",2008-04-01T03:28:50.625462,286,207
1953,"Moore, Alan",2008-04-01T03:28:50.625462,286,208
,,2019-10-15T09:19:39.138187,4,209
,,2021-10-11T07:08:11.904180,5,210
,,2021-10-17T01:47:12.243675,2,211
,,2022-11-19T13:29:53.768840,2,212
,,2023-04-18T12:47:00.678626,1,213
1915,Khushwant Singh,2008-04-01T03:28:50.625462,249,214
1972,,2008-04-29T13:35:46.876380,25,215
1500,"Wu, Cheng'en",2008-04-01T03:28:50.625462,175,216
1966,Jill Lepore,2008-04-01T03:28:50.625462,23,217
1952,Jung Chang,2008-04-01T03:28:50.625462,19,218
1952,E. J. Dionne,2008-04-01T03:28:50.625462,23,219
,,2019-11-02T18:09:00.155657,3,220
,Ariel Waldman,2019-07-19T14:34:57.120204,2,221
,,,25,222
,Teddy Slater,2008-04-01T03:28:50.625462,143,223
1953,"Moore, Alan",2008-04-01T03:28:50.625462,286,224
,,2014-02-10T16:05:23.958850,189,225
1967,Laura Hillenbrand,2008-04-01T03:28:50.625462,15,226
1949,Jane Smiley,2008-04-01T03:28:50.625462,154,227
1983,,2016-10-19T03:04:29.791381,14,228
,,2017-07-22T11:10:17.338014,29,229
1934,Joan Didion,2008-09-02T02:26:21.434041,60,230
1933,David G. McCullough,2008-04-29T13:35:46.876380,69,231
1954,Philippa Gregory,2008-04-01T03:28:50.625462,329,232
,Katee Robert,2019-05-24T01:22:27.231923,123,233
1958,Mitch Albom,2008-04-01T03:28:50.625462,56,234
1955,Colm Tóibín,2008-04-01T03:28:50.625462,241,235
,,2018-06-02T21:27:13.169685,22,236
,,2021-05-30T21:23:13.898356,4,237
1978,Madeline Miller,2008-04-01T03:28:50.625462,7,238
1956,Graeme C. Simsion,2008-04-01T03:28:50.625462,17,239
,,2020-09-16T22:02:00.056543,6,240
