anho_nacimiento,nombre,fecha_creacion,total_obras,autor_id
,Jennifer Weiner,2008-04-01T03:28:50.625462,98,531
1973,Natsuki Takaya,2008-04-01T03:28:50.625462,160,532
1946,Mildred Grieveson,2008-04-30T09:38:13.731961,445,533
,,2021-10-18T16:50:58.813959,4,534
1978,Seanan McGuire,2010-05-06T23:32:52.956260,308,535
,Edith Maxwell,,25,536
,Connilyn Cossette,2019-05-23T22:34:14.110802,27,537
1920,Ray Bradbury,2008-04-01T03:28:50.625462,795,538
1971,Donald Miller,2008-04-01T03:28:50.625462,98,539
1706,"Franklin, Benjamin",2008-04-01T03:28:50.625462,1535,540
1963,Sarah Bakewell,2008-04-01T03:28:50.625462,19,541
,Marilyn Brant,2010-03-19T03:27:01.899826,14,542
1951,"Bryson, Bill.",2008-04-01T03:28:50.625462,75,543
1987,,2011-10-04T16:57:46.868097,47,544
,Norma Frances Greco,,1,545
1904,William L. Shirer,2008-04-01T03:28:50.625462,93,546
1970,Stephen Chbosky,2008-04-01T03:28:50.625462,9,547
1890,Agatha Christie,2008-04-01T03:28:50.625462,1166,548
1933,Oliver W. Sacks,2008-04-01T03:28:50.625462,46,549
,,2021-04-11T02:44:01.014449,1,550
1877,Irma (von Starkloff) Rombauer,2008-04-01T03:28:50.625462,19,551
,Sue Monk Kidd,2008-04-01T03:28:50.625462,63,552
1892,J. R. R. Tolkien,2008-04-01T03:28:50.625462,415,553
1941,Paul Theroux,2008-09-01T14:30:30.625333,264,554
,Paul Harrison,,396,555
1941,Richard Dawkins,2008-04-01T03:28:50.625462,132,556
1969,Jojo Moyes,2008-04-01T03:28:50.625462,106,557
1892,J. R. R. Tolkien,2008-04-01T03:28:50.625462,415,558
,Richard J. Finneran,,45,559
1948,Ina Garten,2008-04-01T03:28:50.625462,28,560
,Carol Rifka Brunt,2012-06-27T07:33:45.451892,8,561
,,,,562
1775,"Austen, Jane",2008-04-01T03:28:50.625462,2205,563
1933,Oliver W. Sacks,2008-04-01T03:28:50.625462,46,564
1898,C. S. Lewis,2008-04-01T03:28:50.625462,1419,565
1969,Jojo Moyes,2008-04-01T03:28:50.625462,106,566
1867,"Wilder, Laura Ingalls",2008-04-01T03:28:50.625462,142,567
1924,Truman Streckfus Persons,2008-04-01T03:28:50.625462,107,568
1888,Dale Carnegie,2008-04-01T03:28:50.625462,404,569
,Kimberly Daniels,,42,570
1890,Agatha Christie,2008-04-01T03:28:50.625462,1166,571
1960,Alison Bechdel,2009-02-18T23:27:21.510505,27,572
1973,Natsuki Takaya,2008-04-01T03:28:50.625462,160,573
1964,Dan Brown,2008-04-01T03:28:50.625462,46,574
,,2008-04-29T15:03:11.581851,125,575
,"Dixon, Simon",,11,576
,,,,577
1946,Kay R. Jamison,2008-04-01T03:28:50.625462,8,578
1939,Peter Mayle,2008-04-01T03:28:50.625462,240,579
1949,Ken Follett,2008-04-01T03:28:50.625462,339,580
1977,John Green,2008-09-24T12:09:56.469720,37,581
1971,Thomas Piketty,2008-04-01T03:28:50.625462,57,582
,,,103,583
1984,,2015-04-04T05:59:31.084252,6,584
1950,"Robertson, Eleanor Marie",2008-04-01T03:28:50.625462,2187,585
,,2008-04-29T13:35:46.876380,27,586
1849,Frances Hodgson Burnett,2008-04-01T03:28:50.625462,2102,587
,,2018-12-08T04:16:14.760456,6,588
1981,Maggie Stiefvater,2008-09-26T13:58:10.764474,36,589
,Dana Jacobi,,17,590
,,,,591
,William Geroux,2019-07-19T13:18:04.847156,3,592
,,,24,593
1892,Corrie Ten Boom,2008-04-01T03:28:50.625462,109,594
1942,S. W. Hawking,2008-04-29T13:35:46.876380,87,595
1955,John Grisham,2008-04-01T03:28:50.625462,680,596
1977,John Green,2008-09-24T12:09:56.469720,37,597
,Jennifer A. Nielsen,2011-07-26T16:43:48.744852,94,598
,Janice Y. K. Lee,2008-12-12T09:47:45.990145,7,599
1981,Maggie Stiefvater,2008-09-26T13:58:10.764474,36,600
,"Haynes, Elizabeth",2008-04-01T03:28:50.625462,27,601
1968,Kwame Alexander,2008-04-01T03:28:50.625462,54,602
,Richard Yancey,2008-04-01T03:28:50.625462,23,603
,Sarah Rees Brennan,2008-11-16T06:55:40.509723,76,604
,,,25,605
,,2008-04-29T15:03:11.581851,10,606
1877,Hermann Hesse,2008-04-01T03:28:50.625462,1379,607
1906,Eleanor Alice Burford Hibbert,2008-04-01T03:28:50.625462,343,608
1954,Christopher Pike,2008-04-01T03:28:50.625462,161,609
1940,Thomas Harris,2008-04-01T03:28:50.625462,15,610
1771,"Scott, Walter",2008-04-01T03:28:50.625462,4622,611
,,,17,612
1890,Verna Cook Shipway,,10,613
1946,F. Isabel Campoy,2008-04-01T03:28:50.625462,188,614
,Stephanie Perkins,2010-02-16T21:51:02.585480,40,615
,Tijan,2019-07-19T22:33:46.686676,82,616
1948,Debbie Macomber,2008-04-01T03:28:50.625462,920,617
1954,Lee Child,2008-04-01T03:28:50.625462,117,618
,,2016-10-27T21:56:49.391319,11,619
,Stephanie Perkins,2010-02-16T21:51:02.585480,40,620
,,,103,621
1928,"Angelou, Maya.",2008-04-01T03:28:50.625462,229,622
1965,J. K. Rowling,2008-04-01T03:28:50.625462,408,623
1973,Natsuki Takaya,2008-04-01T03:28:50.625462,160,624
1920,Isaac Asimov,2008-04-01T03:28:50.625462,1439,625
1962,Harlan Coben,2008-04-01T03:28:50.625462,70,626
,Lisa Gardner,2008-04-01T03:28:50.625462,289,627
,,2008-04-30T09:38:13.731961,9,628
1977,,2008-04-29T15:03:11.581851,119,629
1958,Dacre Stoker,2009-07-27T15:12:52.322952,12,630
1964,Dan Brown,2008-04-01T03:28:50.625462,46,631
,,2008-04-29T15:03:11.581851,125,632
,,2017-04-30T02:08:08.784177,4,633
1724,Immanuel Kant,2008-04-01T03:28:50.625462,2028,634
1975,Markus Zusak,2008-04-01T03:28:50.625462,12,635
1950,"Robertson, Eleanor Marie",2008-04-01T03:28:50.625462,2187,636
1971,Faith Salie,2019-07-19T12:32:29.926730,1,637
1977,John Green,2008-09-24T12:09:56.469720,37,638
1947,A. J. Bacevich,2008-04-01T03:28:50.625462,30,639
,,2008-04-29T15:03:11.581851,58,640
1948,Debbie Macomber,2008-04-01T03:28:50.625462,920,641
1948,George R. R. Martin,2008-04-01T03:28:50.625462,372,642
1948,George R. R. Martin,2008-04-01T03:28:50.625462,372,643
1948,George R. R. Martin,2008-04-01T03:28:50.625462,372,644
,,,6,645
1947,"King, Stephen",2008-04-01T03:28:50.625462,608,646
1628,"Bunyan, John",2008-04-01T03:28:50.625462,678,647
,Jaci Burtom,2008-04-29T13:35:46.876380,125,648
,Julie Berry,,27,649
,,2019-03-18T07:05:14.134662,3,650
1962,Suzanne Collins,2008-04-01T03:28:50.625462,21,651
1859,"Doyle, Arthur Conan",2008-04-01T03:28:50.625462,9173,652
,Pamela Haag,,10,653
1963,Eric Weiner,2010-05-05T09:03:56.076535,11,654
,,,,655
1977,Aya Shouoto,2019-05-23T22:54:30.244743,30,656
1968,Tom Holland,2008-04-01T03:28:50.625462,131,657
1875,Edgar Rice Burroughs,2008-04-01T03:28:50.625462,8255,658
1889,Erle Stanley Gardner,2008-04-01T03:28:50.625462,354,659
,,2008-04-01T03:28:50.625462,,660
,,2019-07-17T14:54:57.760365,10,661
1952,Diana Gabaldon,2008-04-01T03:28:50.625462,306,662
,,2017-09-14T19:11:29.138654,3,663
,Jerry Hopkins,,68,664
1947,"King, Stephen",2008-04-01T03:28:50.625462,608,665
1947,"King, Stephen",2008-04-01T03:28:50.625462,608,666
1962,Suzanne Collins,2008-04-01T03:28:50.625462,21,667
1947,"King, Stephen",2008-04-01T03:28:50.625462,608,668
1832,Louisa May Alcott,2008-04-01T03:28:50.625462,2227,669
1835,Mark Twain,2008-04-01T03:28:50.625462,7351,670
,,,9,671
1965,J. K. Rowling,2008-04-01T03:28:50.625462,408,672
1965,J. K. Rowling,2008-04-01T03:28:50.625462,408,673
1965,J. K. Rowling,2008-04-01T03:28:50.625462,408,674
1965,J. K. Rowling,2008-04-01T03:28:50.625462,408,675
1900,"Mitchell, Margaret",2008-04-01T03:28:50.625462,24,676
1949,Christopher Hitchens,2008-04-01T03:28:50.625462,60,677
,Tracy Chevalier,2008-04-01T03:28:50.625462,131,678
1973,Natsuki Takaya,2008-04-01T03:28:50.625462,160,679
1955,Linwood Barclay,2008-04-01T03:28:50.625462,72,680
1969,J. R. Ward,2008-04-01T03:28:50.625462,289,681
1969,Madeleine Wickham,2008-04-01T03:28:50.625462,262,682
,Jaci Burtom,2008-04-29T13:35:46.876380,125,683
1694,Voltaire,2008-04-01T03:28:50.625462,4027,684
,,2008-04-01T03:28:50.625462,,685
1905,Ayn Rand,2008-04-01T03:28:50.625462,209,686
1903,George Orwell,2008-04-01T03:28:50.625462,688,687
1965,Nicholas Sparks,2008-04-01T03:28:50.625462,530,688
1948,Eckhart Tolle,2008-04-01T03:28:50.625462,173,689
1944,Karen Armstrong,2008-04-01T03:28:50.625462,187,690
1947,"King, Stephen",2008-04-01T03:28:50.625462,608,691
1948,"Gibson, William",2008-04-01T03:28:50.625462,46,692
1818,"Brontë, Emily",2008-04-01T03:28:50.625462,395,693
1972,Max Brooks,2008-04-01T03:28:50.625462,32,694
1928,"Sendak, Maurice.",2008-04-01T03:28:50.625462,91,695
1964,Maria Semple,2008-09-26T00:26:05.047137,9,696
1956,David Sedaris,2008-04-01T03:28:50.625462,35,697
,Benjamin Ginsberg,,118,698
1950,Karen Joy Fowler,2008-04-01T03:28:50.625462,34,699
,,2013-12-20T20:58:28.466003,36,700
1898,C. S. Lewis,2008-04-01T03:28:50.625462,1419,701
1965,J. K. Rowling,2008-04-01T03:28:50.625462,408,702
,Anna Thomas,,15,703
1978,Ruth Soukup,2019-07-18T18:59:41.584320,3,704
1954,Jon Krakauer,2008-04-01T03:28:50.625462,21,705
1972,David Levithan,2008-04-01T03:28:50.625462,83,706
1973,Stephenie Meyer,2008-04-01T03:28:50.625462,161,707
,,2008-04-01T03:28:50.625462,,708
,,2016-08-28T09:22:12.197028,5,709
,,2014-03-13T12:32:11.842829,11,710
1883,Napoleon Hill,2008-04-01T03:28:50.625462,431,711
1979,"Brown, Peter",2008-04-01T03:28:50.625462,25,712
1975,,2008-04-30T08:14:56.482104,361,713
,,2008-04-01T03:28:50.625462,,714
1254,"Polo, Marco",2008-04-29T13:35:46.876380,192,715
1963,Malcolm Gladwell,2008-04-01T03:28:50.625462,79,716
,,2016-10-14T18:22:43.321401,12,717
1947,"King, Stephen",2008-04-01T03:28:50.625462,608,718
,Deb Perelman,2012-04-13T06:34:53.149414,5,719
1965,J. K. Rowling,2008-04-01T03:28:50.625462,408,720
1960,Neil Gaiman,2008-04-01T03:28:50.625462,504,721
1983,,2017-01-20T23:14:40.743539,52,722
1951,"Bryson, Bill.",2008-04-01T03:28:50.625462,75,723
1940,Edmund Morris,2008-04-01T03:28:50.625462,31,724
1952,Douglas Adams,2008-04-01T03:28:50.625462,86,725
,,,196,726
1951,Anita Diamant,2008-04-01T03:28:50.625462,67,727
1954,"Warren, Richard",2008-04-29T15:03:11.581851,144,728
,Scarlett Cole,2019-05-24T03:56:48.061324,19,729
1854,Oscar Wilde,2008-04-01T03:28:50.625462,5524,730
,,,34,731
,,2021-04-03T01:48:39.505817,8,732
1960,Kristin Hannah,2008-04-01T03:28:50.625462,130,733
1957,James Dean,2008-04-29T13:35:46.876380,165,734
,Emma McLaughlin,2008-04-01T03:28:50.625462,60,735
,Francis Pope,,8,736
1972,James Dashner,2008-04-01T03:28:50.625462,120,737
1972,David Levithan,2008-04-01T03:28:50.625462,83,738
1908,Louis L'Amour,2008-04-01T03:28:50.625462,523,739
,,2008-04-29T15:03:11.581851,14,740
,,,17,741
,Kate Hattemer,2018-05-15T05:04:07.153356,5,742
1946,Robert Kanigel,2008-04-01T03:28:50.625462,11,743
1966,Liane Moriarty,2008-04-01T03:28:50.625462,74,744
1912,John Carnell,2008-04-01T03:28:50.625462,58,745
1912,Barbara Wertheim Tuchman,2008-04-01T03:28:50.625462,77,746
1934,Mary Ann Shaffer,2008-04-30T09:38:13.731961,1,747
1963,Donna Tartt,2008-04-01T03:28:50.625462,8,748
1937,Lois Lowry,2008-04-01T03:28:50.625462,155,749
1959,Mike Carey,2008-04-01T03:28:50.625462,232,750
1954,Stieg Larsson,2008-04-01T03:28:50.625462,116,751
1966,Denise Mina,2008-04-01T03:28:50.625462,53,752
1952,Cinda Williams Chima,2008-04-01T03:28:50.625462,48,753
1967,Sam Harris,2008-04-01T03:28:50.625462,27,754
1963,BRIAN GREENE,2008-04-29T13:35:46.876380,28,755
1953,Sam Kean,2009-11-23T16:46:45.074530,14,756
1977,Lauren Weisberger,2008-04-01T03:28:50.625462,97,757
1934,Carl Sagan,2008-04-01T03:28:50.625462,74,758
1970,,2015-05-06T16:12:44.797840,27,759
1964,Dan Brown,2008-04-01T03:28:50.625462,46,760
1965,J. K. Rowling,2008-04-01T03:28:50.625462,408,761
1832,"Carroll, Lewis",2008-04-01T03:28:50.625462,2637,762
1928,Anne Sexton,2008-04-01T03:28:50.625462,78,763
1919,J. D. Salinger,2008-04-01T03:28:50.625462,41,764
1904,Ted Geisel,2008-04-29T13:35:46.876380,611,765
1952,Lee Strobel,2008-04-01T03:28:50.625462,236,766
1975,Markus Zusak,2008-04-01T03:28:50.625462,12,767
,Bill Simmons,2008-04-01T03:28:50.625462,12,768
1960,"Lewis, Michael",2008-04-01T03:28:50.625462,34,769
1930,"Bloom, Harold.",2008-04-01T03:28:50.625462,2329,770
,Alice Waters,,61,771
,Chad Harbach,2011-07-26T18:15:23.772447,15,772
1918,Richard Phillips Feynman,2008-04-01T03:28:50.625462,235,773
1959,,2008-04-29T13:35:46.876380,33,774
,,2021-12-30T22:30:50.210855,2,775
,Emily Giffin,2008-04-30T09:38:13.731961,89,776
,Emily Giffin,2008-04-30T09:38:13.731961,89,777
1873,Ford Madox Ford,2008-04-01T03:28:50.625462,219,778
1969,Madeleine Wickham,2008-04-01T03:28:50.625462,262,779
,Sarah Thornton,,21,780
1956,Carlo Rovelli,2008-10-16T14:34:00.758718,49,781
1865,"Orczy, Emmuska Orczy",2008-04-01T03:28:50.625462,778,782
1961,Tatiana de Rosnay,2008-04-01T03:28:50.625462,75,783
1867,"Galsworthy, John",2008-04-01T03:28:50.625462,1428,784
1965,Augusten Burroughs,2008-04-01T03:28:50.625462,57,785
1955,John Grisham,2008-04-01T03:28:50.625462,680,786
,,2017-08-05T03:43:54.428047,6,787
,,2008-04-29T15:03:11.581851,8,788
,,2016-10-14T06:29:17.019595,18,789
1902,John Steinbeck,2008-04-01T03:28:50.625462,304,790
1972,Ernest Cline,2011-07-26T18:18:09.488500,12,791
1904,"Greene, Graham",2008-04-01T03:28:50.625462,1020,792
1984,Marie Lu,2011-12-29T09:26:58.342703,35,793
1969,Marjane Satrapi,2008-04-01T03:28:50.625462,21,794
1959,,2008-04-29T13:35:46.876380,33,795
1963,Malcolm Gladwell,2008-04-01T03:28:50.625462,79,796
1968,Kirstin Cronn-Mills,2008-11-15T16:38:53.350774,8,797
,,2019-03-07T03:59:28.682036,3,798
1943,Janet Evanovich,2008-04-01T03:28:50.625462,249,799
1951,"Bryson, Bill.",2008-04-01T03:28:50.625462,75,800
1564,William Shakespeare,2008-04-01T03:28:50.625462,12542,801
1951,"Bryson, Bill.",2008-04-01T03:28:50.625462,75,802
1914,"Burroughs, William S.",2008-04-01T03:28:50.625462,341,803
1988,Pierce Brown,2019-08-24T08:25:40.307578,19,804
,Christy Wilson Beam,2019-07-19T12:36:49.871241,4,805
1964,,2008-04-29T13:35:46.876380,91,806
1956,David Sedaris,2008-04-01T03:28:50.625462,35,807
1947,Paulo Coelho,2008-04-01T03:28:50.625462,766,808
,James Mahoney,,37,809
1928,Robert M. Pirsig,2008-04-01T03:28:50.625462,4,810
1903,"Stone, Irving",2008-04-29T13:35:46.876380,79,811
,Diana Abu-Jaber,,16,812
1951,Kate Atkinson,2008-04-01T03:28:50.625462,142,813
1967,Sam Harris,2008-04-01T03:28:50.625462,27,814
,,,26,815
1783,"Irving, Washington",2008-04-01T03:28:50.625462,1893,816
1969,Sheryl Sandberg,2013-09-16T19:12:42.744048,11,817
1940,Thomas Harris,2008-04-01T03:28:50.625462,15,818
1949,Bobbi Smith,2008-04-01T03:28:50.625462,62,819
1942,Michael Crichton,2008-04-01T03:28:50.625462,150,820
1948,Julia Cameron,2008-04-01T03:28:50.625462,92,821
1979,,2008-04-30T08:14:56.482104,3,822
,Erin Hunter,2008-04-01T03:28:50.625462,232,823
1265,Dante Alighieri,2008-04-01T03:28:50.625462,2153,824
1954,Erik Larson,2008-04-01T03:28:50.625462,12,825
,Terri Blackstock,2012-07-25T13:52:48.896006,91,826
,,2008-04-01T03:28:50.625462,,827
1997,Malala Yousafzai,2014-02-12T11:48:29.310320,24,828
,Lisa Lillien,,25,829
1951,Richard Conniff,2008-04-01T03:28:50.625462,21,830
1966,Mark Z. Danielewski,2008-04-01T03:28:50.625462,23,831
,,2017-03-08T16:26:53.265532,29,832
1956,David Sedaris,2008-04-01T03:28:50.625462,35,833
,,2016-10-14T12:30:30.658799,9,834
1904,Ted Geisel,2008-04-29T13:35:46.876380,611,835
1977,John Green,2008-09-24T12:09:56.469720,37,836
,,2021-10-02T02:24:57.851869,3,837
1971,Gillian Flynn,2008-04-01T03:28:50.625462,43,838
1854,"Frazer, James George",2008-04-29T13:35:46.876380,320,839
,,2017-01-12T16:59:24.073994,15,840
1973,Natsuki Takaya,2008-04-01T03:28:50.625462,160,841
1954,H. G. Bissinger,2008-04-01T03:28:50.625462,18,842
,Christine Feehan,2008-04-01T03:28:50.625462,196,843
1963,"James, E. L.",2012-03-15T23:07:06.804942,29,844
1959,Mike Carey,2008-04-01T03:28:50.625462,232,845
1944,"Sandford, John",2008-04-01T03:28:50.625462,164,846
1983,Christopher Paolini,2008-04-01T03:28:50.625462,25,847
1973,Stephenie Meyer,2008-04-01T03:28:50.625462,161,848
1920,"Herbert, Frank.",2008-04-01T03:28:50.625462,270,849
1847,Bram Stoker,2008-04-01T03:28:50.625462,1142,850
1928,"Dick, Philip K.",2008-04-01T03:28:50.625462,637,851
1948,Mir Tamim Ansary,2008-04-01T03:28:50.625462,159,852
1954,Erik Larson,2008-04-01T03:28:50.625462,12,853
1963,Malcolm Gladwell,2008-04-01T03:28:50.625462,79,854
1964,Karen Marie Moning,2008-04-01T03:28:50.625462,103,855
1971,Gillian Flynn,2008-04-01T03:28:50.625462,43,856
1973,,2008-04-30T09:38:13.731961,22,857
,Melanie Conklin,2019-05-24T07:57:55.640745,5,858
1769,Alexander von Humboldt,2010-03-12T04:55:45.595318,674,859
1856,Sigmund Freud,2008-04-01T03:28:50.625462,2017,860
1984,Marissa Meyer,2011-11-16T08:42:44.586982,44,861
,Maddie Dawson,2009-09-10T03:32:11.535788,11,862
1965,J. K. Rowling,2008-04-01T03:28:50.625462,408,863
1973,Stephenie Meyer,2008-04-01T03:28:50.625462,161,864
,,2020-04-29T09:25:43.742908,19,865
1972,David Levithan,2008-04-01T03:28:50.625462,83,866
1962,Christopher McDougall,2009-06-11T18:08:24.257505,18,867
1963,Malcolm Gladwell,2008-04-01T03:28:50.625462,79,868
,David Cordingly,2008-04-01T03:28:50.625462,42,869
1984,Yana Toboso,2010-06-14T18:31:16.166451,165,870
1966,Liane Moriarty,2008-04-01T03:28:50.625462,74,871
1967,Ruta Sepetys,2010-01-21T12:52:52.349181,6,872
,Susan Mallery,2008-04-01T03:28:50.625462,778,873
1939,Seamus Heaney,2008-04-01T03:28:50.625462,378,874
,Kami Garcia,2009-01-07T17:54:54.253197,121,875
1979,Svetlana Chmakova,2009-02-18T07:25:57.857882,7,876
1930,Frank McCourt,2008-04-01T03:28:50.625462,85,877
1972,David Levithan,2008-04-01T03:28:50.625462,83,878
,,,,879
1938,Nancy Garden,2008-04-01T03:28:50.625462,45,880
1890,Agatha Christie,2008-04-01T03:28:50.625462,1166,881
1951,"Bryson, Bill.",2008-04-01T03:28:50.625462,75,882
1962,Jennifer Egan,2008-04-01T03:28:50.625462,28,883
1948,George R. R. Martin,2008-04-01T03:28:50.625462,372,884
1970,Dave Eggers,2008-04-01T03:28:50.625462,210,885
,Christina G. Hibbert,2019-07-18T19:43:06.738714,2,886
,,2024-09-22T17:35:49.671401,7,887
1882,E. Sylvia Pankhurst,2008-04-01T03:28:50.625462,32,888
1946,Julian Barnes,2008-04-01T03:28:50.625462,344,889
1960,Neil Gaiman,2008-04-01T03:28:50.625462,504,890
1969,Alain De Botton,2008-04-01T03:28:50.625462,230,891
,Julie Burchill,,34,892
1867,"Galsworthy, John",2008-04-01T03:28:50.625462,1428,893
1897,Enid Blyton,2008-04-01T03:28:50.625462,2797,894
1874,L. M. Montgomery,2008-04-01T03:28:50.625462,913,895
1903,"Stone, Irving",2008-04-29T13:35:46.876380,79,896
,,2022-12-01T15:55:26.385457,1,897
1970,HELEN MACDONALD,2008-04-30T08:14:56.482104,11,898
1990,Zoe Sugg,2016-10-19T18:46:46.765912,6,899
1973,Natsuki Takaya,2008-04-01T03:28:50.625462,160,900
,,2018-12-30T06:09:03.798836,162,901
1904,Pablo Neruda,2008-04-01T03:28:50.625462,651,902
,Ann Howard Creel,,23,903
,A. L. Jackson,2019-07-18T16:25:45.080721,78,904
,,2022-03-02T20:57:57.216506,22,905
1926,John Berger,2008-04-29T15:03:11.581851,379,906
,,2008-04-29T15:03:11.581851,86,907
,Chloe Neill,2008-12-12T08:00:32.993147,89,908
,,2022-11-29T03:36:00.004119,1,909
1902,John Steinbeck,2008-04-01T03:28:50.625462,304,910
1966,Liane Moriarty,2008-04-01T03:28:50.625462,74,911
,,2020-08-23T21:15:01.906251,17,912
,,2016-10-14T11:58:31.411049,2,913
1975,,2008-04-30T08:14:56.482104,361,914
,,,,915
1569,Kyun Hŏ,2008-04-01T03:28:50.625462,36,916
,A. S. A. Harrison,,8,917
,Marjorie Wallace,,6,918
1941,Richard Dawkins,2008-04-01T03:28:50.625462,132,919
,,2019-10-10T19:35:33.674140,26,920
1960,Neil Gaiman,2008-04-01T03:28:50.625462,504,921
1971,Drew Karpyshyn,2008-04-01T03:28:50.625462,31,922
,Homer.,2008-04-01T03:28:50.625462,1927,923
1948,Alexander McCall Smith,2008-04-01T03:28:50.625462,248,924
,Aristotle,2008-04-01T03:28:50.625462,2483,925
1973,,2008-04-29T15:03:11.581851,19,926
1944,Jack L. Chalker,2008-04-01T03:28:50.625462,239,927
,,2016-10-14T09:09:56.545293,3,928
,,2018-06-09T13:43:12.906034,11,929
,Nadia Murad,2019-05-23T22:46:13.484586,8,930
,Homer.,2008-04-01T03:28:50.625462,1927,931
,,2013-12-17T15:57:25.236637,39,932
1642,Thomas Shadwell,2008-04-01T03:28:50.625462,99,933
,"Croft, Kathryn",2019-07-19T21:06:12.721343,2,934
,Robert Bryndza,2019-05-24T01:14:39.901455,57,935
,,2024-02-17T05:54:45.963376,1,936
1951,Melinda M. Snodgrass,2008-04-29T13:35:46.876380,47,937
1948,Art Spiegelman,2008-04-01T03:28:50.625462,56,938
1958,David Boyle,2008-04-01T03:28:50.625462,69,939
,Juan Mascaró,2008-10-23T20:33:33.270155,12,940
,,2021-04-25T20:15:15.351840,2,941
,Sarah Alexander,,8,942
,Jaci Burtom,2008-04-29T13:35:46.876380,125,943
,,2024-09-30T01:13:22.275159,2,944
1902,Carolyn Keene,2008-04-01T03:28:50.625462,863,945
,,2022-06-10T02:06:15.919229,1,946
1988,Tahereh Mafi,2011-07-30T12:22:39.754442,59,947
,,,95,948
,,,71,949
,Sharon Kendrick,2008-04-01T03:28:50.625462,980,950
1775,"Austen, Jane",2008-04-01T03:28:50.625462,2205,951
1867,"Galsworthy, John",2008-04-01T03:28:50.625462,1428,952
1975,Brandon Sanderson,2008-04-01T03:28:50.625462,190,953
1979,Kurtis J. Wiebe,2019-05-24T01:21:50.108831,7,954
1608,"Milton, John",2008-04-01T03:28:50.625462,6196,955
,,2019-07-17T14:54:57.760365,10,956
,,2008-04-29T15:03:11.581851,60,957
1809,Charles Darwin,2008-04-01T03:28:50.625462,1978,958
1950,William R. Forstchen,2008-04-01T03:28:50.625462,75,959
1922,Jack Kerouac,2008-04-01T03:28:50.625462,253,960
,Eric Spitznagel,,11,961
1910,Gonzalo Torrente Ballester,2008-04-01T03:28:50.625462,124,962
1902,John Steinbeck,2008-04-01T03:28:50.625462,304,963
1938,"Niven, Larry.",2008-04-01T03:28:50.625462,243,964
,,2019-12-11T07:16:47.738325,13,965
1982,G. Willow Wilson,2008-04-30T20:50:18.033121,89,966
,Marcus Aurelius,2008-04-01T03:28:50.625462,485,967
1916,"Dahl, Roald.",2008-04-01T03:28:50.625462,746,968
,Simone St. James,2011-10-22T00:26:47.732728,16,969
1911,William Golding,2008-04-01T03:28:50.625462,116,970
1953,Tess Gerritsen,2008-04-01T03:28:50.625462,368,971
,,2016-07-21T19:56:45.233851,9,972
1816,"Brontë, Charlotte",2008-04-01T03:28:50.625462,1135,973
,,,11,974
1935,Eldridge Cleaver,2008-04-01T03:28:50.625462,24,975
1975,,2008-04-29T15:03:11.581851,162,976
,,,,977
,,2022-05-26T07:55:40.020467,40,978
1973,Natsuki Takaya,2008-04-01T03:28:50.625462,160,979
1797,Mary Wollstonecraft Shelley,2008-04-01T03:28:50.625462,686,980
,,,,981
,,2019-12-16T03:17:06.938574,5,982
1775,"Austen, Jane",2008-04-01T03:28:50.625462,2205,983
1969,Elizabeth Gilbert,2008-04-01T03:28:50.625462,49,984
1825,Robert Michael Ballantyne,2008-04-01T03:28:50.625462,214,985
,,2011-09-21T14:30:49.020154,5,986
1916,"Dahl, Roald.",2008-04-01T03:28:50.625462,746,987
,,2019-10-04T13:11:23.217301,36,988
,,,6,989
1958,Helen Fielding,2008-04-01T03:28:50.625462,23,990
,,2021-09-28T08:56:58.672277,1,991
,Marcia Clark,,28,992
1977,,2008-04-29T15:03:11.581851,419,993
1844,Friedrich Nietzsche,2008-04-01T03:28:50.625462,2849,994
1832,"Carroll, Lewis",2008-04-01T03:28:50.625462,2637,995
,,2018-10-26T12:14:46.657904,53,996
,Melanie Dickerson,2011-11-04T09:12:03.932079,32,997
1947,"Patterson, James",2008-04-01T03:28:50.625462,706,998
1564,William Shakespeare,2008-04-01T03:28:50.625462,12542,999
